Features,Sensitivity,Specificity,Accuracy,ROC AUC,Classifier
commission_error,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
t_m_5,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
t_c_3,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
t_c_4,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
t_c_5,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
a_2_w,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
a_3_w,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
a_4_w,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
a_2_s,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
LA_reg10_late,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
SA_reg4_late,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
SA_reg9_late,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
v12_reg1_early,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
v12_reg3_early,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
em_hit,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
face_t2_cond4_5,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
MST_Diam_gamma_2,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
MST_Leaf_beta,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
MST_Leaf_gamma_2,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
MST_R_gamma_2,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
MST_R_theta,0.8723404255319149,0.5238095238095238,0.7084967320261437,0.7256132756132756,SVC(cache_size=200.0)
