Features,Sensitivity,Specificity,Accuracy,ROC AUC,Classifier
MST_degree_delta,0.8723404255319149,0.7619047619047619,0.8209150326797385,0.8874098124098124,SVC(cache_size=200.0)
MST_degree_gamma_1,0.8723404255319149,0.7619047619047619,0.8209150326797385,0.8874098124098124,SVC(cache_size=200.0)
MST_Diam_alpha,0.8723404255319149,0.7619047619047619,0.8209150326797385,0.8874098124098124,SVC(cache_size=200.0)
MST_Diam_beta,0.8723404255319149,0.7619047619047619,0.8209150326797385,0.8874098124098124,SVC(cache_size=200.0)
MST_Diam_gamma_1,0.8723404255319149,0.7619047619047619,0.8209150326797385,0.8874098124098124,SVC(cache_size=200.0)
MST_Diam_gamma_2,0.8723404255319149,0.7619047619047619,0.8209150326797385,0.8874098124098124,SVC(cache_size=200.0)
MST_Diam_theta,0.8723404255319149,0.7619047619047619,0.8209150326797385,0.8874098124098124,SVC(cache_size=200.0)
conn_alpha,0.8723404255319149,0.7619047619047619,0.8209150326797385,0.8874098124098124,SVC(cache_size=200.0)
