Features,Sensitivity,Specificity,Accuracy,ROC AUC,Classifier
lured,0.7446808510638298,0.9285714285714286,0.8294117647058824,0.8687590187590187,SVC(cache_size=200.0)
commission_error,0.7446808510638298,0.9285714285714286,0.8294117647058824,0.8687590187590187,SVC(cache_size=200.0)
em_nhit,0.7446808510638298,0.9285714285714286,0.8294117647058824,0.8687590187590187,SVC(cache_size=200.0)
MST_Leaf_delta,0.7446808510638298,0.9285714285714286,0.8294117647058824,0.8687590187590187,SVC(cache_size=200.0)
MST_Leaf_gamma_2,0.7446808510638298,0.9285714285714286,0.8294117647058824,0.8687590187590187,SVC(cache_size=200.0)
conn_alpha,0.7446808510638298,0.9285714285714286,0.8294117647058824,0.8687590187590187,SVC(cache_size=200.0)
conn_gamma_1,0.7446808510638298,0.9285714285714286,0.8294117647058824,0.8687590187590187,SVC(cache_size=200.0)
conn_theta,0.7446808510638298,0.9285714285714286,0.8294117647058824,0.8687590187590187,SVC(cache_size=200.0)
